央视频道,#genre#

CCTV-1,http://117.158.165.147:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0#http://39.162.16.88:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0#http://39.164.160.249:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=0&authid=0#http://39.164.179.230:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0#http://101.224.232.228:9901/tsfile/live/faacts/0001_1.m3u8#http://111.20.35.103:6610/000000001000/1000000001000021973/index.m3u8?channel-id=ystenlive&Contentid=1000000001000021973&livemode=1&stbId=00#http://111.59.63.32:9901/tsfile/live/1008_1.m3u8#http://221.2.36.34:8888/newlive/live/hls/2/live.m3u8#http://221.214.140.137:9901/tsfile/live/0001_1.m3u8#http://222.71.90.218:8888/newlive/live/hls/2/live.m3u8#http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225804/1.m3u8#http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225804/index.m3u8#http://58.19.13.92:9901/tsfile/live/1000_1.m3u8#http://58.220.219.14:9901/tsfile/live/0001_1.m3u8#https://live.v1.mk/api/bestv.php?id=cctv1hd8m/8000000#http://111.20.35.103:6610/yinhe/2/ch00000090990000001068/index.m3u8?virtualDomain=yinhe.live_hls.zte.com#http://112.132.181.221:9988/hls/1/index.m3u8#http://119.62.142.2:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=0&authid=0#http://1278.hsmedia.top:8080/newlive/live/hls/1/live.m3u8#http://1304.hsmedia.top:8080/newlive/live/hls/2/live.m3u8#http://218.2.110.186:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0#http://220.163.178.144:8888/tsfile/live/0001_1.m3u8?key=txiptv&playlive=0&authid=0#http://36.24.155.225:4022/rtp/233.50.201.118:5140#https://live.goodiptv.club/api/cqyx.php?id=cctv1HD#https://node1.olelive.com:6443/live/CCTV1HD/hls.m3u8
CCTV-2,http://117.158.165.147:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0#http://223.75.123.222:9901/tsfile/live/1001_1.m3u8?key=txiptv&playlive=0&authid=0#http://39.162.16.88:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0#http://39.164.160.249:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=0&authid=0#http://39.164.179.230:9901/tsfile/live/0001_2.m3u8?key=txiptv&playlive=1&authid=0#http://101.224.232.228:9901/tsfile/live/0002_1.m3u8#http://111.59.63.32:9901/tsfile/live/1009_1.m3u8#http://221.2.36.34:8888/newlive/live/hls/3/live.m3u8#http://221.213.43.82:8888/newlive/live/hls/3/live.m3u8#http://221.214.140.137:9901/tsfile/live/0002_1.m3u8#http://39.134.24.161/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226195/index.m3u8#http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226195/1.m3u8#http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226224/1.m3u8#http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226195/index.m3u8#http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226195/index.m3u8?#http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226224/index.m3u8#http://58.19.13.92:9901/tsfile/live/1001_1.m3u8#http://58.220.219.14:9901/tsfile/live/0002_1.m3u8#https://live.v1.mk/api/bestv.php?id=cctv2hd8m/8000000#http://111.20.35.103:6610/yinhe/2/ch00000090990000001293/index.m3u8?virtualDomain=yinhe.live_hls.zte.com#http://112.132.181.221:9988/hls/2/index.m3u8#http://119.62.142.2:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=0&authid=0#http://1278.hsmedia.top:8080/newlive/live/hls/2/live.m3u8#http://1304.hsmedia.top:8080/newlive/live/hls/3/live.m3u8#http://171.221.240.108:808/hls/02/index.m3u8#http://218.2.110.186:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0#http://220.163.178.144:8888/tsfile/live/0002_1.m3u8?key=txiptv&playlive=0&authid=0#http://36.24.155.225:4022/rtp/233.50.201.119:5140#http://liveop.cctv.cn/hls/CCTV28bee868714f04ea2af79947bb9b46fc3H/playlist.m3u8#https://live.goodiptv.club/api/cqyx.php?id=cctv2HD
CCTV-3,http://117.158.165.147:9901/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0#http://223.75.123.222:9901/tsfile/live/1002_1.m3u8?key=txiptv&playlive=0&authid=0#http://39.162.16.88:9901/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0#http://39.164.160.249:9901/tsfile/live/0003_1.m3u8?key=txiptv&playlive=0&authid=0#http://39.164.179.230:9901/tsfile/live/0001_3.m3u8?key=txiptv&playlive=1&authid=0#http://1.195.111.251:11190/tsfile/live/0003_1.m3u8#http://101.224.232.228:9901/tsfile/live/0003_1.m3u8#http://111.20.35.103:6610/000000001000/1000000001000011218/index.m3u8?channel-id=ystenlive&Contentid=1000000001000011218&livemode=1&stbId=00#http://111.59.63.32:9901/tsfile/live/1010_1.m3u8#http://58.19.13.92:9901/tsfile/live/1002_1.m3u8#http://58.220.219.14:9901/tsfile/live/0003_1.m3u8#https://live.v1.mk/api/bestv.php?id=cctv38m/8000000#http://112.132.181.221:9988/hls/3/index.m3u8#http://119.62.142.2:9901/tsfile/live/0003_1.m3u8?key=txiptv&playlive=0&authid=0#http://1278.hsmedia.top:8080/newlive/live/hls/3/live.m3u8#http://1304.hsmedia.top:8080/newlive/live/hls/4/live.m3u8#http://218.2.110.186:9901/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0#http://220.163.178.144:8888/tsfile/live/0003_1.m3u8?key=txiptv&playlive=0&authid=0#http://223.95.111.98:5555/newlive/live/hls/3/live.m3u8#https://live.goodiptv.club/api/cqyx.php?id=cctv3HD#https://node1.olelive.com:6443/live/CCTV3HD/hls.m3u8
CCTV-4,http://117.158.165.147:9901/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0#http://223.75.123.222:9901/tsfile/live/1003_1.m3u8?key=txiptv&playlive=0&authid=0#http://39.162.16.88:9901/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0#http://39.164.160.249:9901/tsfile/live/0004_1.m3u8?key=txiptv&playlive=0&authid=0#http://39.164.179.230:9901/tsfile/live/0001_4.m3u8?key=txiptv&playlive=1&authid=0#http://101.224.232.228:9901/tsfile/live/0004_1.m3u8#http://111.20.35.103:6610/000000001000/1000000002000031664/index.m3u8?channel-id=ystenlive&Contentid=1000000002000031664&livemode=1&stbId=00#http://111.59.63.32:9901/tsfile/live/1011_1.m3u8#http://221.2.36.34:8888/newlive/live/hls/5/live.m3u8#http://221.214.140.137:9901/tsfile/live/0004_1.m3u8#http://39.134.24.161/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226191/index.m3u8?#http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226191/1.m3u8#http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226191/index.m3u8#http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226191/index.m3u8?#http://58.19.13.92:9901/tsfile/live/1003_1.m3u8#https://live.v1.mk/api/bestv.php?id=cctv4hd8m/8000000#http://111.20.35.103:6610/yinhe/2/ch00000090990000001290/index.m3u8?virtualDomain=yinhe.live_hls.zte.com#http://112.132.181.221:9988/hls/4/index.m3u8#http://119.62.142.2:9901/tsfile/live/0004_1.m3u8?key=txiptv&playlive=0&authid=0#http://1304.hsmedia.top:8080/newlive/live/hls/5/live.m3u8#http://218.2.110.186:9901/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0#http://220.163.178.144:8888/tsfile/live/0004_1.m3u8?key=txiptv&playlive=0&authid=0#http://221.213.43.82:8888/newlive/live/hls/5/live.m3u8#https://live.goodiptv.club/api/cqyx.php?id=cctv4HD#https://live.goodiptv.club/api/cqyx.php?id=CCTV4K#http://ainm.cc/a/play/php/cctv4k.php?id=4khd
CCTV-5,http://117.158.165.147:9901/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0#http://39.162.16.88:9901/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0#http://39.164.160.249:9901/tsfile/live/0005_1.m3u8?key=txiptv&playlive=0&authid=0#http://39.164.179.230:9901/tsfile/live/0001_5.m3u8?key=txiptv&playlive=1&authid=0#http://101.224.232.228:9901/tsfile/live/0005_1.m3u8#http://111.20.35.103:6610/000000001000/1000000001000004794/index.m3u8?channel-id=ystenlive&Contentid=1000000001000004794&livemode=1&stbId=00#http://111.59.63.32:9901/tsfile/live/1012_1.m3u8#http://222.71.90.218:8888/newlive/live/hls/6/live.m3u8#http://39.134.24.161/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226395/index.m3u8#http://39.134.24.161/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226395/index.m3u8?#http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226395/1.m3u8#http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226395/index.m3u8#http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226395/index.m3u8?#http://58.19.13.92:9901/tsfile/live/1004_1.m3u8#https://live.goodiptv.club/api/cqyx.php?id=cctv5HD#http://111.20.35.103:6610/yinhe/2/ch00000090990000001850/index.m3u8?virtualDomain=yinhe.live_hls.zte.com#http://112.132.181.221:9988/hls/5/index.m3u8#http://119.62.142.2:9901/tsfile/live/0005_1.m3u8?key=txiptv&playlive=0&authid=0#http://218.2.110.186:9901/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0#http://220.163.178.144:8888/tsfile/live/0005_1.m3u8?key=txiptv&playlive=0&authid=0#https://node1.olelive.com:6443/live/CCTV5PHD/hls.m3u8
CCTV-5+,http://221.2.36.34:8888/newlive/live/hls/7/live.m3u8#http://221.214.140.137:9901/tsfile/live/0132_1.m3u8#http://39.134.24.161/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225761/index.m3u8?#http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225761/1.m3u8#http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225761/index.m3u8?#https://live.goodiptv.club/api/cqyx.php?id=cctv5SportHD#https://live.v1.mk/api/bestv.php?id=cctv5phd8m/8000000#http://112.132.181.221:9988/hls/6/index.m3u8#http://1278.hsmedia.top:8080/newlive/live/hls/5/live.m3u8#http://1304.hsmedia.top:8080/newlive/live/hls/6/live.m3u8#http://1639.hsmedia.top:8080/newlive/live/hls/7/live.m3u8#http://171.221.240.108:808/hls/05/index.m3u8#http://36.24.155.225:4022/rtp/233.50.201.220:5140#http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225761/index.m3u8
CCTV-6,http://110.7.128.130:9901/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0#http://117.158.165.147:9901/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0#http://223.75.123.222:9901/tsfile/live/1005_1.m3u8?key=txiptv&playlive=0&authid=0#http://39.162.16.88:9901/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0#http://39.164.160.249:9901/tsfile/live/0006_1.m3u8?key=txiptv&playlive=0&authid=0#http://39.164.179.230:9901/tsfile/live/0001_6.m3u8?key=txiptv&playlive=1&authid=0#http://101.224.232.228:9901/tsfile/live/0006_1.m3u8#http://111.20.35.103:6610/000000001000/1000000001000016466/index.m3u8?channel-id=ystenlive&Contentid=1000000001000016466&livemode=1&stbId=00#http://111.59.63.32:9901/tsfile/live/1013_1.m3u8#http://58.220.219.14:9901/tsfile/live/0006_1.m3u8#https://live.v1.mk/api/bestv.php?id=cctv6hd8m/8000000#http://111.20.35.103:6610/yinhe/2/ch00000090990000001859/index.m3u8?virtualDomain=yinhe.live_hls.zte.com#http://112.132.181.221:9988/hls/7/index.m3u8#http://119.62.142.2:9901/tsfile/live/0006_1.m3u8?key=txiptv&playlive=0&authid=0#http://1278.hsmedia.top:8080/newlive/live/hls/6/live.m3u8#http://1304.hsmedia.top:8080/newlive/live/hls/7/live.m3u8#http://171.221.240.108:808/hls/06/index.m3u8#http://218.2.110.186:9901/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0#http://220.163.178.144:8888/tsfile/live/0006_1.m3u8?key=txiptv&playlive=0&authid=0#http://223.95.111.98:5555/newlive/live/hls/6/live.m3u8#http://36.24.155.225:4022/rtp/233.50.201.198:5140
CCTV-7,http://117.158.165.147:9901/tsfile/live/0007_1.m3u8?key=txiptv&playlive=1&authid=0#http://223.75.123.222:9901/tsfile/live/1006_1.m3u8?key=txiptv&playlive=0&authid=0#http://39.162.16.88:9901/tsfile/live/0007_1.m3u8?key=txiptv&playlive=1&authid=0#http://39.164.160.249:9901/tsfile/live/0007_1.m3u8?key=txiptv&playlive=0&authid=0#http://39.164.179.230:9901/tsfile/live/0001_7.m3u8?key=txiptv&playlive=1&authid=0#http://101.224.232.228:9901/tsfile/live/0007_1.m3u8#http://111.20.35.103:6610/000000001000/1000000001000017218/index.m3u8?channel-id=ystenlive&Contentid=1000000001000017218&livemode=1&stbId=00#http://111.59.63.32:9901/tsfile/live/1014_1.m3u8#http://221.2.36.34:8888/newlive/live/hls/9/live.m3u8#http://221.213.43.82:8888/newlive/live/hls/9/live.m3u8#http://221.214.140.137:9901/tsfile/live/0007_1.m3u8#http://58.19.13.92:9901/tsfile/live/1006_1.m3u8#https://live.v1.mk/api/bestv.php?id=cctv7hd8m/8000000#http://111.20.35.103:6610/yinhe/2/ch00000090990000001291/index.m3u8?virtualDomain=yinhe.live_hls.zte.com#http://112.132.181.221:9988/hls/8/index.m3u8#http://119.62.142.2:9901/tsfile/live/0007_1.m3u8?key=txiptv&playlive=0&authid=0#http://1278.hsmedia.top:8080/newlive/live/hls/7/live.m3u8#http://1304.hsmedia.top:8080/newlive/live/hls/8/live.m3u8#http://218.2.110.186:9901/tsfile/live/0007_1.m3u8?key=txiptv&playlive=1&authid=0#http://220.163.178.144:8888/tsfile/live/0007_1.m3u8?key=txiptv&playlive=0&authid=0#http://36.24.155.225:4022/rtp/233.50.201.120:5140#https://live.goodiptv.club/api/cqyx.php?id=cctv7HD
CCTV-8,http://117.158.165.147:9901/tsfile/live/0008_1.m3u8?key=txiptv&playlive=1&authid=0#http://223.75.123.222:9901/tsfile/live/1007_1.m3u8?key=txiptv&playlive=0&authid=0#http://39.162.16.88:9901/tsfile/live/0008_1.m3u8?key=txiptv&playlive=1&authid=0#http://39.164.160.249:9901/tsfile/live/0008_1.m3u8?key=txiptv&playlive=0&authid=0#http://39.164.179.230:9901/tsfile/live/0001_8.m3u8?key=txiptv&playlive=1&authid=0#http://101.224.232.228:9901/tsfile/live/0008_1.m3u8#http://111.20.35.103:6610/000000001000/1000000001000003736/index.m3u8?channel-id=ystenlive&Contentid=1000000001000003736&livemode=1&stbId=00#http://39.134.24.161/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226012/index.m3u8?#http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226012/1.m3u8#http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226391/1.m3u8#http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226012/index.m3u8#http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226012/index.m3u8?#http://58.19.13.92:9901/tsfile/live/1007_1.m3u8#http://58.220.219.14:9901/tsfile/live/0008_1.m3u8#http://59.50.99.10:9901/tsfile/live/0008_1.m3u8?key=txiptv&playlive=1&authid=0#https://live.v1.mk/api/bestv.php?id=cctv8hd8m/8000000#http://111.20.35.103:6610/yinhe/2/ch00000090990000001869/index.m3u8?virtualDomain=yinhe.live_hls.zte.com#http://112.132.181.221:9988/hls/9/index.m3u8#http://119.62.142.2:9901/tsfile/live/0008_1.m3u8?key=txiptv&playlive=0&authid=0#http://1278.hsmedia.top:8080/newlive/live/hls/8/live.m3u8#http://1304.hsmedia.top:8080/newlive/live/hls/9/live.m3u8#http://218.2.110.186:9901/tsfile/live/0008_1.m3u8?key=txiptv&playlive=1&authid=0#http://220.163.178.144:8888/tsfile/live/0008_1.m3u8?key=txiptv&playlive=0&authid=0#http://36.24.155.225:4022/rtp/233.50.201.199:5140#https://live.goodiptv.club/api/cqyx.php?id=cctv8HD
